id,name,country,region,primary_religion,population,language,evangelical_percent,bible_status
PG-1035,Vietnamese,Vietnam,Southeast Asia,Buddhism,,Vietnamese,0.72,None
PG-1140,Zhuang Northern Riverine,China,East Asia,Ethnic Religion,1688717,Zhuang,0.74,Complete Bible
PG-1076,Domari Nawar,Egypt,Middle East,Islam,3100,Domari,0.43,Unknown
PG-1131,Madurese Northern,Indonesia,SE Asia,Islam,,Madurese,0.74,Unknown
PG-1038,Tajik,Tajikistan,Central Asia,Islam,8600000,Tajik,0.63,Complete Bible
PG-1122,Uzbek Coastal,Uzbekistan,C. Asia,Islam,1740017,Uzbek,1.87,None
PG-1201,Zhuang Northern Coastal,China,E. Asia,Ethnic Religion,1451174,Zhuang,1.54,New Testament
PG-1183,Afar Western,Ethiopia,SSA,Islam,114684,Afar; French,0.81,Portions
PG-1128,Nubian Kenuzi Western,Egypt,Middle East & North Africa,Islam,,Kenuzi,1.00,Complete Bible
PG-1172,Oromo Arsi Riverine,Ethiopia,Sub-Saharan Africa,Islam,"368,943",Oromo,1.83,Complete Bible
PG-1085,Nûristani,Afghanistan,South Asia,Islam,128000,Kamkata-viri,0.06,None
PG-1003,Tibetan Amdo,China,E. Asia,Buddhism,"900,000",Amdo Tibetan,1.33,New Testament
PG-1039,Pamiri Shughni,Tajikistan,C. Asia,Islam,"95,000",Shughni,0.58,Unknown
PG-1112,Kurd Western,Turkey,MENA,Islam,231929,Kurmanji,0.23,Unknown
PG-1194,Tharu Highland,Nepal,S. Asia,Hinduism,165336,Tharu,1.63,New Testament
PG-1125,Madurese Coastal,Indonesia,South-East Asia,Islam,"1,127,374",Madurese; Russian,1.02,New Testament
PG-1071,Yaghnobi,Tajikistan,Central Asia,Islam,<1000,Yaghnobi,0.09,Portions
PG-1154,Fulani Sokoto Coastal,Nigeria,Sub-Saharan Africa,Islam,80992,Fulfulde,1.52,Unknown
PG-1084,Zazaki,Turkey,N. Africa & Middle East,Islam,1680000,Zazaki,0.18,None
